From	To	Species	Gene Name
ENSBTAG00000053255	OR10H4	Bos taurus	olfactory receptor family 10 subfamily H member 4(OR10H4)
ENSBTAG00000054586	LOC112448324	Bos taurus	small nucleolar RNA U2-19(LOC112448324)
ENSBTAG00000054589	OR9S43B	Bos taurus	olfactory receptor family 9 subfamily S member 43B(OR9S43B)
ENSBTAG00000053141	LOC112445291	Bos taurus	U6 spliceosomal RNA(LOC112445291)
ENSBTAG00000054473	SMIM9	Bos taurus	small integral membrane protein 9(SMIM9)
ENSBTAG00000054471	MIR2284E	Bos taurus	microRNA mir-2284e(MIR2284E)
ENSBTAG00000053145	LOC112446894	Bos taurus	U6 spliceosomal RNA(LOC112446894)
ENSBTAG00000054477	LOC112448374	Bos taurus	U6 spliceosomal RNA(LOC112448374)
ENSBTAG00000053143	OR51L4	Bos taurus	olfactory receptor family 51 subfamily L member 4(OR51L4)
ENSBTAG00000054475	LOC525101	Bos taurus	melanoma antigen preferentially expressed in tumors(LOC525101)
ENSBTAG00000054478	OR9K2H	Bos taurus	olfactory receptor family 9 subfamily K member 2H(OR9K2H)
ENSBTAG00000053148	LOC112441692	Bos taurus	U6 spliceosomal RNA(LOC112441692)
ENSBTAG00000054480	OR2B8K	Bos taurus	olfactory receptor family 2 subfamily B member 8K(OR2B8K)
ENSBTAG00000053152	OR7A88	Bos taurus	olfactory receptor family 7 subfamily A member 88(OR7A88)
ENSBTAG00000054483	LOC112441461	Bos taurus	glycosyl-phosphatidylinositol-anchored molecule-like protein(LOC112441461)
ENSBTAG00000054481	TMEM92	Bos taurus	transmembrane protein 92(TMEM92)
ENSBTAG00000042597	LOC112443611	Bos taurus	U6 spliceosomal RNA(LOC112443611)
ENSBTAG00000042595	LOC112448281	Bos taurus	U6 spliceosomal RNA(LOC112448281)
ENSBTAG00000042594	LOC112448638	Bos taurus	U5 spliceosomal RNA(LOC112448638)
ENSBTAG00000042599	LOC112449432	Bos taurus	U6 spliceosomal RNA(LOC112449432)
ENSBTAG00000042598	LOC112442432	Bos taurus	small nucleolar RNA SNORA18(LOC112442432)
ENSBTAG00000053156	ISCA1	Bos taurus	iron-sulfur cluster assembly 1(ISCA1)
ENSBTAG00000054488	OR5H36	Bos taurus	olfactory receptor family 5 subfamily H member 36(OR5H36)
ENSBTAG00000054489	LOC112449645	Bos taurus	U6 spliceosomal RNA(LOC112449645)
ENSBTAG00000054490	LOC100336507	Bos taurus	trace amine-associated receptor 7a(LOC100336507)
ENSBTAG00000053164	LOC524269	Bos taurus	40S ribosomal protein S15a pseudogene(LOC524269)
ENSBTAG00000054493	LOC112449665	Bos taurus	small nucleolar RNA SNORA72(LOC112449665)
ENSBTAG00000042584	LOC112447212	Bos taurus	U6 spliceosomal RNA(LOC112447212)
ENSBTAG00000042589	LOC112442466	Bos taurus	U6 spliceosomal RNA(LOC112442466)
ENSBTAG00000042588	LOC112443298	Bos taurus	small nucleolar RNA SNORD113/SNORD114 family(LOC112443298)
ENSBTAG00000042587	LOC112443933	Bos taurus	U6 spliceosomal RNA(LOC112443933)
ENSBTAG00000016290	MOB1B	Bos taurus	MOB kinase activator 1B(MOB1B)
ENSBTAG00000016295	RPP25L	Bos taurus	ribonuclease P/MRP subunit p25 like(RPP25L)
ENSBTAG00000016294	ZNF438	Bos taurus	zinc finger protein 438(ZNF438)
ENSBTAG00000042581	LOC112448308	Bos taurus	small nucleolar RNA SNORA72(LOC112448308)
ENSBTAG00000016293	TRIM77	Bos taurus	tripartite motif containing 77(TRIM77)
ENSBTAG00000016299	ZNF784	Bos taurus	zinc finger protein 784(ZNF784)
ENSBTAG00000053167	OR5K8	Bos taurus	olfactory receptor family 5 subfamily K member 8(OR5K8)
ENSBTAG00000016298	TM9SF3	Bos taurus	transmembrane 9 superfamily member 3(TM9SF3)
ENSBTAG00000016297	CCNYL1	Bos taurus	cyclin Y like 1(CCNYL1)
ENSBTAG00000054496	MIR7691	Bos taurus	microRNA mir-7691(MIR7691)
ENSBTAG00000053165	LOC782032	Bos taurus	TNF receptor-associated factor 6 pseudogene(LOC782032)
ENSBTAG00000016296	GPD1	Bos taurus	glycerol-3-phosphate dehydrogenase 1(GPD1)
ENSBTAG00000053170	MIR6521	Bos taurus	microRNA mir-6521(MIR6521)
ENSBTAG00000030591	CWC25	Bos taurus	CWC25 spliceosome associated protein homolog(CWC25)
ENSBTAG00000030592	LOC107132228	Bos taurus	ubiquitin-like protein 5(LOC107132228)
ENSBTAG00000028273	LOC112441910	Bos taurus	5S ribosomal RNA(LOC112441910)
ENSBTAG00000053175	LOC112448358	Bos taurus	U6 spliceosomal RNA(LOC112448358)
ENSBTAG00000042574	LOC112447186	Bos taurus	small nucleolar RNA SNORA70(LOC112447186)
ENSBTAG00000042573	LOC112446909	Bos taurus	U6 spliceosomal RNA(LOC112446909)
ENSBTAG00000042579	LOC112448609	Bos taurus	small nucleolar RNA U6-53/MBII-28(LOC112448609)
ENSBTAG00000042578	LOC112444801	Bos taurus	small nucleolar RNA SNORA25(LOC112444801)
ENSBTAG00000053179	LST1	Bos taurus	leukocyte specific transcript 1(LST1)
ENSBTAG00000030599	SMOC1	Bos taurus	SPARC related modular calcium binding 1(SMOC1)
ENSBTAG00000030593	RFTN1	Bos taurus	raftlin, lipid raft linker 1(RFTN1)
ENSBTAG00000030595	COX16	Bos taurus	cytochrome c oxidase assembly factor COX16(COX16)
ENSBTAG00000004291	SEPTIN6	Bos taurus	septin 6(SEPTIN6)
ENSBTAG00000053182	OR1J4D	Bos taurus	olfactory receptor family 1 subfamily J member 4D(OR1J4D)
ENSBTAG00000004292	CRMP1	Bos taurus	collapsin response mediator protein 1(CRMP1)
ENSBTAG00000004293	CLEC12B	Bos taurus	C-type lectin domain family 12 member B(CLEC12B)
ENSBTAG00000004294	EVI5L	Bos taurus	ecotropic viral integration site 5 like(EVI5L)
ENSBTAG00000030581	TBC1D5	Bos taurus	TBC1 domain family member 5(TBC1D5)
ENSBTAG00000042569	LOC112449174	Bos taurus	small nucleolar RNA SNORA25(LOC112449174)
ENSBTAG00000053185	LOC112443255	Bos taurus	small nucleolar RNA SNORD115(LOC112443255)
ENSBTAG00000053183	PAG4	Bos taurus	pregnancy-associated glycoprotein 4(PAG4)
ENSBTAG00000004290	DDX28	Bos taurus	DEAD-box helicase 28(DDX28)
ENSBTAG00000043897	LOC112442473	Bos taurus	U6 spliceosomal RNA(LOC112442473)
ENSBTAG00000042562	LOC112444661	Bos taurus	U6 spliceosomal RNA(LOC112444661)
ENSBTAG00000043899	LOC112448341	Bos taurus	U2 spliceosomal RNA(LOC112448341)
ENSBTAG00000004295	NDUFA8	Bos taurus	NADH:ubiquinone oxidoreductase subunit A8(NDUFA8)
ENSBTAG00000004296	MORN5	Bos taurus	MORN repeat containing 5(MORN5)
ENSBTAG00000042567	LOC112448663	Bos taurus	U6 spliceosomal RNA(LOC112448663)
ENSBTAG00000004297	ACOXL	Bos taurus	acyl-CoA oxidase like(ACOXL)
ENSBTAG00000016272	TEX11	Bos taurus	testis expressed 11(TEX11)
ENSBTAG00000016271	SNRPF	Bos taurus	small nuclear ribonucleoprotein polypeptide F(SNRPF)
ENSBTAG00000016277	MTARC2	Bos taurus	mitochondrial amidoxime reducing component 2(MTARC2)
ENSBTAG00000053189	OR5AN1	Bos taurus	olfactory receptor family 5 subfamily AN member 1(OR5AN1)
ENSBTAG00000030587	LASP1	Bos taurus	LIM and SH3 protein 1(LASP1)
ENSBTAG00000016276	HAL	Bos taurus	histidine ammonia-lyase(HAL)
ENSBTAG00000053187	FER1L4	Bos taurus	fer-1 like family member 4(FER1L4)
ENSBTAG00000016275	AMDHD1	Bos taurus	amidohydrolase domain containing 1(AMDHD1)
ENSBTAG00000016274	CCDC38	Bos taurus	coiled-coil domain containing 38(CCDC38)
ENSBTAG00000030589	TMCO6	Bos taurus	transmembrane and coiled-coil domains 6(TMCO6)
ENSBTAG00000016279	EMILIN3	Bos taurus	elastin microfibril interfacer 3(EMILIN3)
ENSBTAG00000030584	LOC112447523	Bos taurus	SLC35A4 upstream open reading frame protein(LOC112447523)
ENSBTAG00000016278	RPL30	Bos taurus	ribosomal protein L30(RPL30)
ENSBTAG00000030585	CLDN14	Bos taurus	claudin 14(CLDN14)
ENSBTAG00000053192	NRN1L	Bos taurus	neuritin 1 like(NRN1L)
ENSBTAG00000042559	LOC112446111	Bos taurus	small nucleolar RNA SNORA42/SNORA80 family(LOC112446111)
ENSBTAG00000053191	LOC527981	Bos taurus	low-density lipoprotein receptor-related protein 1B-like(LOC527981)
ENSBTAG00000053196	OR13P11	Bos taurus	olfactory receptor family 13 subfamily P member 11(OR13P11)
ENSBTAG00000042553	LOC112443669	Bos taurus	small nucleolar RNA SNORD99(LOC112443669)
ENSBTAG00000042552	LOC112448190	Bos taurus	U6 spliceosomal RNA(LOC112448190)
ENSBTAG00000043887	LOC112442822	Bos taurus	small nucleolar RNA U2-19(LOC112442822)
ENSBTAG00000043888	LOC112445257	Bos taurus	small nucleolar RNA SNORA35(LOC112445257)
ENSBTAG00000042550	LOC112448331	Bos taurus	U6atac minor spliceosomal RNA(LOC112448331)
ENSBTAG00000042557	LOC112448277	Bos taurus	U6 spliceosomal RNA(LOC112448277)
ENSBTAG00000042555	LOC112442769	Bos taurus	U6 spliceosomal RNA(LOC112442769)
ENSBTAG00000043883	LOC112445283	Bos taurus	U4 spliceosomal RNA(LOC112445283)
ENSBTAG00000043880	LOC112448201	Bos taurus	U6 spliceosomal RNA(LOC112448201)
ENSBTAG00000016284	IL7	Bos taurus	interleukin 7(IL7)
ENSBTAG00000016283	TMEM63C	Bos taurus	transmembrane protein 63C(TMEM63C)
ENSBTAG00000016282	EIF5	Bos taurus	eukaryotic translation initiation factor 5(EIF5)
ENSBTAG00000016281	PREP	Bos taurus	prolyl endopeptidase(PREP)
ENSBTAG00000030575	BHLHE41	Bos taurus	basic helix-loop-helix family member e41(BHLHE41)
ENSBTAG00000016287	UNK	Bos taurus	unk zinc finger(UNK)
ENSBTAG00000053198	LOC784131	Bos taurus	eukaryotic translation elongation factor 1 alpha 1 pseudogene(LOC784131)
ENSBTAG00000016285	NGB	Bos taurus	neuroglobin(NGB)
ENSBTAG00000053199	CNIH3	Bos taurus	cornichon family AMPA receptor auxiliary protein 3(CNIH3)
ENSBTAG00000030578	PTOV1	Bos taurus	PTOV1 extended AT-hook containing adaptor protein(PTOV1)
ENSBTAG00000004270	FCER2	Bos taurus	Fc epsilon receptor II(FCER2)
ENSBTAG00000042549	LOC112448163	Bos taurus	small nucleolar RNA SNORA67(LOC112448163)
ENSBTAG00000031890	DOCK1	Bos taurus	dedicator of cytokinesis 1(DOCK1)
ENSBTAG00000042548	LOC112443371	Bos taurus	U6 spliceosomal RNA(LOC112443371)
ENSBTAG00000004271	UBAP2L	Bos taurus	ubiquitin associated protein 2 like(UBAP2L)
ENSBTAG00000004272	ISG12(B)	Bos taurus	TLH29 protein precursor-like(ISG12(B))
ENSBTAG00000004277	EVC2	Bos taurus	EvC ciliary complex subunit 2(EVC2)
ENSBTAG00000043874	LOC112441912	Bos taurus	U2 spliceosomal RNA(LOC112441912)
ENSBTAG00000004278	APMAP	Bos taurus	adipocyte plasma membrane associated protein(APMAP)
ENSBTAG00000043875	LOC112443044	Bos taurus	U2 spliceosomal RNA(LOC112443044)
ENSBTAG00000042541	LOC112448657	Bos taurus	U6 spliceosomal RNA(LOC112448657)
ENSBTAG00000004279	RHOA	Bos taurus	ras homolog family member A(RHOA)
ENSBTAG00000043876	LOC112446144	Bos taurus	U2 spliceosomal RNA(LOC112446144)
ENSBTAG00000004273	CST7	Bos taurus	cystatin F(CST7)
ENSBTAG00000043870	LOC112445230	Bos taurus	U6 spliceosomal RNA(LOC112445230)
ENSBTAG00000042546	LOC112447195	Bos taurus	U6atac minor spliceosomal RNA(LOC112447195)
ENSBTAG00000043871	LOC112448898	Bos taurus	U6 spliceosomal RNA(LOC112448898)
ENSBTAG00000004275	DKK3	Bos taurus	dickkopf WNT signaling pathway inhibitor 3(DKK3)
ENSBTAG00000043872	LOC112448340	Bos taurus	U2 spliceosomal RNA(LOC112448340)
ENSBTAG00000042543	LOC112443318	Bos taurus	small nucleolar RNA SNORD113/SNORD114 family(LOC112443318)
ENSBTAG00000017582	CHEK1	Bos taurus	checkpoint kinase 1(CHEK1)
ENSBTAG00000016251	TMEM101	Bos taurus	transmembrane protein 101(TMEM101)
ENSBTAG00000016250	AKTIP	Bos taurus	AKT interacting protein(AKTIP)
ENSBTAG00000017580	RFX5	Bos taurus	regulatory factor X5(RFX5)
ENSBTAG00000016255	PLEK2	Bos taurus	pleckstrin 2(PLEK2)
ENSBTAG00000031895	TFB1M	Bos taurus	transcription factor B1, mitochondrial(TFB1M)
ENSBTAG00000016254	HDAC5	Bos taurus	histone deacetylase 5(HDAC5)
ENSBTAG00000031898	CNTNAP5	Bos taurus	contactin associated protein family member 5(CNTNAP5)
ENSBTAG00000030566	GLE1	Bos taurus	GLE1 RNA export mediator(GLE1)
ENSBTAG00000017584	PLCG1	Bos taurus	phospholipase C gamma 1(PLCG1)
ENSBTAG00000016253	G6PC3	Bos taurus	glucose-6-phosphatase catalytic subunit 3(G6PC3)
ENSBTAG00000016252	LSM12	Bos taurus	LSM12 homolog(LSM12)
ENSBTAG00000030567	ODF2	Bos taurus	outer dense fiber of sperm tails 2(ODF2)
ENSBTAG00000016259	KIAA1958	Bos taurus	KIAA1958(KIAA1958)
ENSBTAG00000031891	NLGN1	Bos taurus	neuroligin 1(NLGN1)
ENSBTAG00000016257	ZNF74	Bos taurus	zinc finger protein 74(ZNF74)
ENSBTAG00000030563	PRRG2	Bos taurus	proline rich and Gla domain 2(PRRG2)
ENSBTAG00000004280	SRPX	Bos taurus	sushi repeat containing protein X-linked(SRPX)
ENSBTAG00000042539	LOC112446531	Bos taurus	U6 spliceosomal RNA(LOC112446531)
ENSBTAG00000004281	ACSS1	Bos taurus	acyl-CoA synthetase short chain family member 1(ACSS1)
ENSBTAG00000004282	AMBRA1	Bos taurus	autophagy and beclin 1 regulator 1(AMBRA1)
ENSBTAG00000004283	PPFIBP1	Bos taurus	PPFIA binding protein 1(PPFIBP1)
ENSBTAG00000043867	LOC112448622	Bos taurus	small nucleolar RNA SNORA11(LOC112448622)
ENSBTAG00000043869	MIR1468	Bos taurus	microRNA mir-1468(MIR1468)
ENSBTAG00000004288	GSTA4	Bos taurus	glutathione S-transferase alpha 4(GSTA4)
ENSBTAG00000042530	LOC112448159	Bos taurus	small nucleolar RNA SNORD22(LOC112448159)
ENSBTAG00000004284	UFD1	Bos taurus	ubiquitin recognition factor in ER associated degradation 1(UFD1)
ENSBTAG00000042535	LOC112448328	Bos taurus	small nucleolar RNA SNORA40(LOC112448328)
ENSBTAG00000004286	CDC45	Bos taurus	cell division cycle 45(CDC45)
ENSBTAG00000004287	EVC	Bos taurus	EvC ciliary complex subunit 1(EVC)
ENSBTAG00000042532	LOC112441924	Bos taurus	U6 spliceosomal RNA(LOC112441924)
ENSBTAG00000017593	TREM1	Bos taurus	triggering receptor expressed on myeloid cells 1(TREM1)
ENSBTAG00000030557	LIN52	Bos taurus	lin-52 DREAM MuvB core complex component(LIN52)
ENSBTAG00000017592	GPAT3	Bos taurus	glycerol-3-phosphate acyltransferase 3(GPAT3)
ENSBTAG00000016260	LRRK2	Bos taurus	leucine rich repeat kinase 2(LRRK2)
ENSBTAG00000030559	KRTAP1-1	Bos taurus	keratin associated protein 1-1(KRTAP1-1)
ENSBTAG00000017597	ESCO1	Bos taurus	establishment of sister chromatid cohesion N-acetyltransferase 1(ESCO1)
ENSBTAG00000016266	SDHD	Bos taurus	succinate dehydrogenase complex subunit D(SDHD)
ENSBTAG00000031885	LYSET	Bos taurus	lysosomal enzyme trafficking factor(LYSET)
ENSBTAG00000016265	DNAJA1	Bos taurus	DnaJ heat shock protein family (Hsp40) member A1(DNAJA1)
ENSBTAG00000030555	KRT28	Bos taurus	keratin 28(KRT28)
ENSBTAG00000016264	FKBP8	Bos taurus	FKBP prolyl isomerase 8(FKBP8)
ENSBTAG00000017595	HS2ST1	Bos taurus	heparan sulfate 2-O-sulfotransferase 1(HS2ST1)
ENSBTAG00000031886	H2BC15	Bos taurus	H2B clustered histone 15(H2BC15)
ENSBTAG00000030556	ZNF217	Bos taurus	zinc finger protein 217(ZNF217)
ENSBTAG00000017594	ZHX3	Bos taurus	zinc fingers and homeoboxes 3(ZHX3)
ENSBTAG00000016263	SLC25A14	Bos taurus	solute carrier family 25 member 14(SLC25A14)
ENSBTAG00000016269	ME2	Bos taurus	malic enzyme 2(ME2)
ENSBTAG00000017599	NR2F1	Bos taurus	nuclear receptor subfamily 2 group F member 1(NR2F1)
ENSBTAG00000016268	XRCC1	Bos taurus	X-ray repair cross complementing 1(XRCC1)
ENSBTAG00000016267	SERPING1	Bos taurus	serpin family G member 1(SERPING1)
ENSBTAG00000005580	SZT2	Bos taurus	SZT2 subunit of KICSTOR complex(SZT2)
ENSBTAG00000042526	LOC112444952	Bos taurus	small nucleolar RNA SNORD28(LOC112444952)
ENSBTAG00000016239	DUOXA2	Bos taurus	dual oxidase maturation factor 2(DUOXA2)
ENSBTAG00000017569	C20H5orf22	Bos taurus	chromosome 20 C5orf22 homolog(C20H5orf22)
ENSBTAG00000005581	CCL25	Bos taurus	C-C motif chemokine ligand 25(CCL25)
ENSBTAG00000042525	LOC112444371	Bos taurus	U6 spliceosomal RNA(LOC112444371)
ENSBTAG00000043859	LOC112443321	Bos taurus	small nucleolar RNA SNORD113/SNORD114 family(LOC112443321)
ENSBTAG00000042529	LOC112449654	Bos taurus	U6 spliceosomal RNA(LOC112449654)
ENSBTAG00000005586	GATM	Bos taurus	glycine amidinotransferase(GATM)
ENSBTAG00000005587	SKIC2	Bos taurus	SKI2 subunit of superkiller complex(SKIC2)
ENSBTAG00000004256	ODC1	Bos taurus	ornithine decarboxylase 1(ODC1)
ENSBTAG00000005588	DXO	Bos taurus	decapping exoribonuclease(DXO)
ENSBTAG00000004257	TAF4B	Bos taurus	TATA-box binding protein associated factor 4b(TAF4B)
ENSBTAG00000004258	EEF2	Bos taurus	eukaryotic translation elongation factor 2(EEF2)
ENSBTAG00000005589	STK19	Bos taurus	serine/threonine kinase 19(STK19)
ENSBTAG00000042523	LOC112444790	Bos taurus	U6 spliceosomal RNA(LOC112444790)
ENSBTAG00000005583	HYI	Bos taurus	hydroxypyruvate isomerase (putative)(HYI)
ENSBTAG00000042522	LOC112442097	Bos taurus	small nucleolar RNA SNORA11(LOC112442097)
ENSBTAG00000005584	LOC101903900	Bos taurus	serine/arginine-rich splicing factor 9 pseudogene(LOC101903900)
ENSBTAG00000042521	LOC112449431	Bos taurus	U6 spliceosomal RNA(LOC112449431)
ENSBTAG00000005585	LOC112449619	Bos taurus	annexin A13-like(LOC112449619)
ENSBTAG00000028229	LOC112446136	Bos taurus	U1 spliceosomal RNA(LOC112446136)
ENSBTAG00000030546	KRT26	Bos taurus	keratin 26(KRT26)
ENSBTAG00000017560	CEBPG	Bos taurus	CCAAT enhancer binding protein gamma(CEBPG)
ENSBTAG00000004259	HPCAL1	Bos taurus	hippocalcin like 1(HPCAL1)
ENSBTAG00000030548	KRT27	Bos taurus	keratin 27(KRT27)
ENSBTAG00000017564	CGN	Bos taurus	cingulin(CGN)
ENSBTAG00000031874	ZNF165	Bos taurus	zinc finger protein 165(ZNF165)
ENSBTAG00000030542	KRT25	Bos taurus	keratin 25(KRT25)
ENSBTAG00000031873	ZSCAN16	Bos taurus	zinc finger and SCAN domain containing 16(ZSCAN16)
ENSBTAG00000018897	PSMD11	Bos taurus	proteasome 26S subunit, non-ATPase 11(PSMD11)
ENSBTAG00000030543	SLC6A16	Bos taurus	solute carrier family 6 member 16(SLC6A16)
ENSBTAG00000018898	ARID4A	Bos taurus	AT-rich interaction domain 4A(ARID4A)
ENSBTAG00000016231	POFUT1	Bos taurus	protein O-fucosyltransferase 1(POFUT1)
ENSBTAG00000017561	HHIPL2	Bos taurus	HHIP like 2(HHIPL2)
ENSBTAG00000016230	BRWD3	Bos taurus	bromodomain and WD repeat domain containing 3(BRWD3)
ENSBTAG00000031875	BANF1	Bos taurus	BAF nuclear assembly factor 1(BANF1)
ENSBTAG00000017567	ACACA	Bos taurus	acetyl-CoA carboxylase alpha(ACACA)
ENSBTAG00000018893	AHCYL1	Bos taurus	adenosylhomocysteinase like 1(AHCYL1)
ENSBTAG00000016236	SLC12A6	Bos taurus	solute carrier family 12 member 6(SLC12A6)
ENSBTAG00000017566	TUFT1	Bos taurus	tuftelin 1(TUFT1)
ENSBTAG00000016235	RNASEH1	Bos taurus	ribonuclease H1(RNASEH1)
ENSBTAG00000030540	ZDHHC12	Bos taurus	zinc finger DHHC-type palmitoyltransferase 12(ZDHHC12)
ENSBTAG00000018894	PEX11G	Bos taurus	peroxisomal biogenesis factor 11 gamma(PEX11G)
ENSBTAG00000017565	SCFD1	Bos taurus	sec1 family domain containing 1(SCFD1)
ENSBTAG00000031871	NKAPL	Bos taurus	NFKB activating protein like(NKAPL)
ENSBTAG00000016234	DUOX2	Bos taurus	dual oxidase 2(DUOX2)
ENSBTAG00000042515	LOC112447572	Bos taurus	U6 spliceosomal RNA(LOC112447572)
ENSBTAG00000016249	NAGS	Bos taurus	N-acetylglutamate synthase(NAGS)
ENSBTAG00000005592	MCOLN1	Bos taurus	mucolipin TRP cation channel 1(MCOLN1)
ENSBTAG00000042514	LOC112446494	Bos taurus	small nucleolar RNA SNORA3/SNORA45 family(LOC112446494)
ENSBTAG00000004261	SPON2	Bos taurus	spondin 2(SPON2)
ENSBTAG00000043845	LOC112448202	Bos taurus	U6 spliceosomal RNA(LOC112448202)
ENSBTAG00000042519	LOC112443305	Bos taurus	small nucleolar RNA SNORD113/SNORD114 family(LOC112443305)
ENSBTAG00000042518	LOC112447615	Bos taurus	small nucleolar RNA SNORA33(LOC112447615)
ENSBTAG00000004266	DDX25	Bos taurus	DEAD-box helicase 25(DDX25)
ENSBTAG00000004267	CCDC148	Bos taurus	coiled-coil domain containing 148(CCDC148)
ENSBTAG00000004268	TRAPPC5	Bos taurus	trafficking protein particle complex subunit 5(TRAPPC5)
ENSBTAG00000029540	LOC112446060	Bos taurus	5S ribosomal RNA(LOC112446060)
ENSBTAG00000004269	SGK1	Bos taurus	serum/glucocorticoid regulated kinase 1(SGK1)
ENSBTAG00000004262	ZFP2	Bos taurus	ZFP2 zinc finger protein(ZFP2)
ENSBTAG00000004263	ATP6V0A4	Bos taurus	ATPase H+ transporting V0 subunit a4(ATP6V0A4)
ENSBTAG00000005595	TRMU	Bos taurus	tRNA mitochondrial 2-thiouridylase(TRMU)
ENSBTAG00000029544	LOC112448630	Bos taurus	U2 spliceosomal RNA(LOC112448630)
ENSBTAG00000005596	IGFBP2	Bos taurus	insulin like growth factor binding protein 2(IGFBP2)
ENSBTAG00000043840	LOC112443620	Bos taurus	U6 spliceosomal RNA(LOC112443620)
ENSBTAG00000028219	LOC112443598	Bos taurus	5S ribosomal RNA(LOC112443598)
ENSBTAG00000030539	KRT222	Bos taurus	keratin 222(KRT222)
ENSBTAG00000017571	PLEKHA5	Bos taurus	pleckstrin homology domain containing A5(PLEKHA5)
ENSBTAG00000016240	RNF157	Bos taurus	ring finger protein 157(RNF157)
ENSBTAG00000031866	LOC537848	Bos taurus	transmembrane protein 53-like(LOC537848)
ENSBTAG00000031869	ZSCAN26	Bos taurus	zinc finger and SCAN domain containing 26(ZSCAN26)
ENSBTAG00000016244	VWA3A	Bos taurus	von Willebrand factor A domain containing 3A(VWA3A)
ENSBTAG00000030532	KNCN	Bos taurus	kinocilin(KNCN)
ENSBTAG00000016243	RBL2	Bos taurus	RB transcriptional corepressor like 2(RBL2)
ENSBTAG00000017574	LMNA	Bos taurus	lamin A/C(LMNA)
ENSBTAG00000016242	DUOXA1	Bos taurus	dual oxidase maturation factor 1(DUOXA1)
ENSBTAG00000017573	RBM26	Bos taurus	RNA binding motif protein 26(RBM26)
ENSBTAG00000016247	TACR3	Bos taurus	tachykinin receptor 3(TACR3)
ENSBTAG00000031861	RHEB	Bos taurus	Ras homolog, mTORC1 binding(RHEB)
ENSBTAG00000016246	DUOX1	Bos taurus	dual oxidase 1(DUOX1)
ENSBTAG00000017576	ADGRD2	Bos taurus	adhesion G protein-coupled receptor D2(ADGRD2)
ENSBTAG00000042506	LOC112446153	Bos taurus	U5 spliceosomal RNA(LOC112446153)
ENSBTAG00000017549	KITLG	Bos taurus	KIT ligand(KITLG)
ENSBTAG00000016218	PTGES2	Bos taurus	prostaglandin E synthase 2(PTGES2)
ENSBTAG00000016217	RBM43	Bos taurus	RNA binding motif protein 43(RBM43)
ENSBTAG00000042504	LOC112441904	Bos taurus	small nucleolar RNA SNORD78(LOC112441904)
ENSBTAG00000042503	LOC112447202	Bos taurus	U4 spliceosomal RNA(LOC112447202)
ENSBTAG00000017547	DBNL	Bos taurus	drebrin like(DBNL)
ENSBTAG00000018879	ZNF451	Bos taurus	zinc finger protein 451(ZNF451)
ENSBTAG00000042509	LOC112446164	Bos taurus	U6 spliceosomal RNA(LOC112446164)
ENSBTAG00000042507	LOC112443651	Bos taurus	small nucleolar RNA SNORA41(LOC112443651)
ENSBTAG00000006896	ABCA9	Bos taurus	ATP binding cassette subfamily A member 9(ABCA9)
ENSBTAG00000005564	PIAS1	Bos taurus	protein inhibitor of activated STAT 1(PIAS1)
ENSBTAG00000005565	CLN6	Bos taurus	CLN6 transmembrane ER protein(CLN6)
ENSBTAG00000006898	EPRS1	Bos taurus	glutamyl-prolyl-tRNA synthetase 1(EPRS1)
ENSBTAG00000043832	LOC112447645	Bos taurus	U4 spliceosomal RNA(LOC112447645)
ENSBTAG00000005567	BEND4	Bos taurus	BEN domain containing 4(BEND4)
ENSBTAG00000005560	ST18	Bos taurus	ST18 C2H2C-type zinc finger transcription factor(ST18)
ENSBTAG00000042502	LOC112444673	Bos taurus	small nucleolar RNA SNORA1(LOC112444673)
ENSBTAG00000004230	AIMP1	Bos taurus	aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)
ENSBTAG00000005562	GALNT13	Bos taurus	polypeptide N-acetylgalactosaminyltransferase 13(GALNT13)
ENSBTAG00000006894	NOS2	Bos taurus	nitric oxide synthase 2(NOS2)
ENSBTAG00000004231	GPM6A	Bos taurus	glycoprotein M6A(GPM6A)
ENSBTAG00000006893	BBX	Bos taurus	BBX high mobility group box domain containing(BBX)
ENSBTAG00000030529	FAM53C	Bos taurus	family with sequence similarity 53 member C(FAM53C)
ENSBTAG00000004237	BTC	Bos taurus	betacellulin(BTC)
ENSBTAG00000005568	FRMPD2	Bos taurus	FERM and PDZ domain containing 2(FRMPD2)
ENSBTAG00000004238	TACC1	Bos taurus	transforming acidic coiled-coil containing protein 1(TACC1)
ENSBTAG00000006899	JPH3	Bos taurus	junctophilin 3(JPH3)
ENSBTAG00000017542	PPARD	Bos taurus	peroxisome proliferator activated receptor delta(PPARD)
ENSBTAG00000016211	GCDH	Bos taurus	glutaryl-CoA dehydrogenase(GCDH)
ENSBTAG00000031852	TBC1D10B	Bos taurus	TBC1 domain family member 10B(TBC1D10B)
ENSBTAG00000030520	PROB1	Bos taurus	proline rich basic protein 1(PROB1)
ENSBTAG00000016210	LYPD2	Bos taurus	LY6/PLAUR domain containing 2(LYPD2)
ENSBTAG00000017541	TBX20	Bos taurus	T-box transcription factor 20(TBX20)
ENSBTAG00000031851	SELPLG	Bos taurus	selectin P ligand(SELPLG)
ENSBTAG00000030521	IER5L	Bos taurus	immediate early response 5 like(IER5L)
ENSBTAG00000017540	FAM13C	Bos taurus	family with sequence similarity 13 member C(FAM13C)
